R9,,,,,,/hwuk/,,,,,,,,/duk/,,,/kʰuk/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/nuk/,,,,,,,,,,,,,/nuk/,,,,/pʷuk/,,,,,/ruk/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/duk/,,,,,,,,,,,,,,,,,,,,,/duk/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/duk/,,,,,,,,,,,,,,,,,,,,,/wuk/,,,/t͡suk/,/suk/,/suk/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/puk/,,,,,,,,,,/ʃuk/,,,,/bʷuk/,,,,,,,,
R10,,,,,/or/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/mur/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/nur/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/jwur/,,,,,,,/kor/,,,,,,,,,,,,,,,,/tʰor/,,,,,/tʰor/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/t͡sɐr/,,,,,,,,,,,,,,/kur/,,,,,,
R11,,,,,,,,,,,,,,,,,,,,/hrɐŋ/,,,,,,,,,,,,,,,,/t͡soŋ/,,,,,,,,,/soŋ/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/ʃoŋ/,,,,,,,,/nɐŋ/,,,,,,,,,,,,,,/t͡sɐŋ/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/moŋ/,/mɐŋ/,,,,/tʰɐŋ/,/pʰaoŋ/,,,,,,/noŋ/,,,,,,,,/t͡soŋ/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/kʰaoŋ/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/dlɐŋ/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R12,,,,,,,,/jo/,,,,,,,,,,,,,,,,,,,,,,,,,,,,/t͡so/,,,,,,,,,/so/,,,,,,,,,,/re/,,,,,,,,,,,,,,,,,,,,,/ʃo/,,,,,,,,,,,,,,,,,,/ʃo/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/mo/,,,,,,/pʰao/,,,,,,/no/,,,,,,,,/t͡so/,,,,,,,,,,,,,,,,,,,,,,,,/re/,,,,,,,,,,,,,/kʰao/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/tʰe/,,/bʷe/,,,,,/saː/,,,/kʰo/,,,,,,,,,,,,,,,,,/t͡saː/,,,,,,,,,,,,,,,,,
R13,,,,,/o/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/mu/,,,,,,,,,,,,,,,,,,,,,,,,,,,,/nu/,,,,,,/nu/,,,,,,,,,,,,,,/wuː/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/waː/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/jwu/,,,,,,,/ko/,,,,,,,,,,/tʰuu/,,,,,,/tʰo/,/saː/,,,,/tʰo/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/t͡sɐ/,,,,,,,,,,,,,,/ku/,,,,,,
R14,/se/,,,,/u/,,,/ju/,,,,,/we/,,,,,,,,,,,,,,,,,/ne/,,/ne/,,,/t͡se/,/t͡su/,/lu/,/ke/,,,,,/he/,/kʰe/,/su/,,,,,,,,,,/ri/,/hwe/,,,,/re/,,,,,,,/me/,,,,,,,,,/ʃu/,,,/kʰe/,/t͡se/,,,,,/le/,/hwe/,,,,,,,,/ʃu/,,/t͡se/,,,,,,,,,,,,,,,,,/ŋe/,,,,/ku/,/re/,,/ʃe/,,,,,,,,/mu/,,/ne/,,,,/pʰau/,,/hwe/,/me/,,,/nu/,/mu/,/rwu/,,,,,/re/,/t͡su/,,,,,,,,,/bʷu/,,/ke/,/se/,,,,,,,,,,/pʰe/,,/ri/,,/de/,,,,,,,,,,,/kʰau/,,/de/,/hle/,,,,,,/lu/,/se/,/je/,,,,/ku/,,,,,,,/tle/,,/ʃu/,,/ʃe/,,,,,/tʰu/,,,/hwi/,,/tʰu/,,,,,,,,/tʰi/,,/bʷi/,,,,,,,,/kʰu/,,,,,,,/je/,,,/tʰu/,,,/je/,/t͡su/,,,,,/ʃe/,/le/,,,,,/kʰe/,,,,/te/,,,,,
R15,,,,/huʔ/,,/huk/,,,/ruʔ/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/he/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/he/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/he/,,,,,,/ru/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/ju/,,,,,,,,,,,,,,,,,,,,,,,,,,/hi/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/leʔ/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/lɐŋ/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/luʔ/
R17,,,,,,,,,,,,,,,,,,,/roʔ/,/rɐŋ/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/roʔ/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/le/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/rejʔ/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/pim/,,,,,,,,,,,,,,,,,,,,,,,,/toʔ/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/paj/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/te/,,,,,/paj/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R19,,,,,,,,,,,,,,/ruk/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/ruk/,,,,,,,,,,,,,,,,,,,,,/ruk/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/ruk/,,,,,,,,,/re/,,,,,,,,,,,,,/re/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/roʔ/,,,,,,,,,,,,,
R20,,,,,,,,,,,,,,,,,,,,,,,,,,,,/seʔ/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/soʔ/,,,,,/su/,,,,,,,,,,,,,,,,,,/su/,/sɐŋ/,,,,,,,,,,,,,,,,,,,,,/sejʔ/,,,,/se/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/suʔ/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/saːm/,,,,,,,,,,,,,,,,,,,/soj/,,,,,,,,,,,/su/,,/se/,,,,,,,,,/saʔ/,,,,,/suŋ/,,,,,,,,,,,,,,,,,,,,,,,,,/sejʔ/,,,,,/suʔ/,,,/se/,,,/suk/,,/sejʔ/,,,,,,,,,,
R21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/sɐn/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/jɐn/,,,,,,,,,,,/ken/,,,/mɐn/,,,,,/hen/,,,,,,,,,/tʰɐn/,,,,,,,,/pʰen/,,,,,,,,/bʷɐn/,,/ŋɐn/,
R22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/kej/,,,,,,,,/hej/,,,,,,,,,,,,,,,,,/pʰej/,,,,,,,,,,,
R23,,,,,,,,,,/luj/,,,,,/kʰej/,,,,,,,,,,,,,,,,,,,,,,,,,/luj/,,/t͡sej/,,,,,,,,,,/lej/,/muj/,,,,,,,,,,,/pʰuj/,,,,,,,,,,,,,,,,,,,/nej/,,,,/kʰej/,,,,,,/t͡suj/,,,,,,,,/muj/,/kʰujʔ/,/mujʔ/,,/luj/,,,,,,,,,,,/sujʔ/,,,,,,,,,,,,,,,,,,,,,,,,,,,/kej/,/tʰuj/,/tʰuj/,,,,,/luj/,,,/pej/,,,/t͡sujʔ/,,,,,,,/tʰujʔ/,/tujʔ/,,,,,,,,,,,/lej/,/ŋej/,/tej/,,,,,,/kʰej/,,,,,,,,,,,,,,,,,,,,/kʰuj/,,,,,/nej/,,,,/pej/,,,,,,/wujʔ/,,,,,,/pej/,,,,,,/rujʔ/,,,/muj/,,/ʔuj/,,/kuj/,,,,,,,,/huj/,,,,,/sujʔ/,,,,,,,/bujʔ/,,,,,/pʰuj/,/sujʔ/,,,,,,/mej/,,,,
R24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/t͡sɐm/,/kʰɐm/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/pɐm/,,/sɐm/,,,,,,,,,/kɐm/,,,,,,,,,,,,/tʰɐm/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/tʰɐm/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/rɐm/,,,,,/ŋɐm/,,,,,,,,,,,,,,,,,,,,,,,,/lɐm/,,,,,,,,,,,,,,,,/hɐm/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R25,,,/kɐl/,,,,,,,,,,,,,,,,,,,,,,/hɐl/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/rɐl/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/kɐl/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R26,,,/kɐŋ/,,,,,,,,,,,,,,,,,,,,,,/hɐŋ/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/rɐŋ/,,,,,,,,,,,,,/sɐŋ/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/kɐŋ/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/jɐŋ/,,,,,,,,,,,,,,/mɐŋ/,,,,,,,,,,,,,,/tʰɐŋ/,,,,,,,,,,,,,,,,/bʷɐŋ/,,/ŋɐŋ/,
R27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/vaːn/,,,,,,,,,,,,,,,,,,,,,,,/vɐm/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/vu/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/vi/,,,,,,,,,,,,,,,,,,,,,,,,,,/vujʔ/,,,,,,,,/vuk/,,,,,/vɐŋ/,,,
R28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/wuʔ/,,,,,,,,,,,,,,/wuk/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
