$Proto-Tangkhulic?, Kachai
pʰ a a ŋ , pʰ o 
kʰ a , kʰ u 
l a t , l ɐ t 
tʰ i k , tʰ ɐ k 
c u ŋ , c u ŋ 
t o w , t e 
bʷ a , v u 
bʷ u , v u 
t͡s a r , ð a r 
l a , r u 
n i ŋ , n a ŋ 
j a ŋ , j a 
n ɐ ŋ , n ɐ ŋ 
pʷ ɨ , w e 
