ʃa	ʃa
ka	ka
cuŋ	cuŋ
tsik	tsik
sik	sik
tsa	tsa
hrit	rit
saar	sar
tɐk	tɐk
kʰa	kʰa
tsɐt	tsat
wa	va
kʰa	kʰa
sun	sun
tsi	tsi
tsa	tsa
su	su
sik	sik
bet	pet
lek	lek
loj	luj
met	met
pʰrew	pʰew
ʃok	ʃok
tʰuur	tʰur
ra	ra
kʰop	kʰop
kʰot	kʰot
sa	sa
hrik	rik
raal	raj
koŋ	koŋ
waar	var
tsaat	tsat
hla	la
ʃa	ʃa
na	na
liŋ	liŋ
mot	mot
ʃi	ʃi
la	la
pʷuk	vuk
wa	va
na	na
mik	mik
ri	ri
la	la
pʰaaŋ	pʰaŋ
hwut	hut
rwok	ok
ʃi	ʃi
hwa	ha
con	con
pa	pa
na	na
mor	mor
ʃoŋ	ʃoŋ
kʰut	kʰut
ʃɐt	ʃat
ra	ra
reŋ	reŋ
dlok	tok
hol	huj
kor	kor
kʰuul	kʰu
hwok	hok
kɐn	kan
caw	caw
sa	sa
ŋaj	ŋaj
caaŋ	caŋ
tsu	tsu
pʰit	pʰit
ʃi	ʃi
ra	ra
haaw	haw
rum	rum
baal	paj
kup	kup
duŋ	tuŋ
bʷo	wo
waw	vaw
wɐt	vat
tʰeŋ	tʰeŋ
tʰaak	tʰak
tʰaw	tʰaw
se	si
ʃa	ʃa
ʃap	ʃɐp
pʰe	pʰe
ʃuŋ	ʃuŋ
lej	lej
hal	haj
tla	ta
hwa	ha
mi	mi
tʰa	tʰa
niŋ	niŋ
nir	nir
nuk	nuk
ŋa	ŋa
tʰa	tʰa
kʰaaŋ	kʰaŋ
ju	ju
ca	ca
bʷeŋ	veŋ
dɨ	ru
tli	ti
tʰar	tʰɐr
tʰat	tʰɐt
dak	rɐk
tʰak	tʰɐk
jak	jɐk
mi	mi
su	su
niŋ	niŋ
tʰum	tʰum
tsi	ci
ma	ma
loj	luj
li	li
joj	juj
ja	ja
nam	nɐm
cow	cuj
pʰaar	pʰar
hriŋ	riŋ
kej	kej
