$Proto-Tangkhulic?, Ukhrul
k aː p , k a p 
m o w , m u j 
n a , n a 
m i ŋ , m i ŋ 
ŋ u m , ŋ u m 
n i ŋ , n i ŋ 
m i n , m i n 
kʰ a j , kʰ a j 
tʰ a w , tʰ a w 
k u l , k u 
n a m , n ɐ m 
t͡s i , c i 
r i l , r i 
r i , r i 
j o ŋ , j o ŋ 
kʰ u , k u 
