$Proto-Tangkhulic?, Huishu
m i , m e 
l i , l i 
tʰ a t , tʰ e j ʔ 
t a t , k e j ʔ 
d u , r u k 
d l e k , l e ʔ 
w o k , w u ʔ 
n o w , n o w 
r o w , r o w 
pʰ a , pʰ e 
tʰ a a w , tʰ o w 
r e ŋ , r e 
t͡s i , t͡s i k 
d a , r e 
l a j , l e 
ŋ a j , n e j 
t a j , kʰ e j 
kʰ o p , kʰ ɐ p 
ʃ aː m , s a m 
t͡s ɐ m , t͡s ɐ m 
n a p , n a ʔ 
c o w , t͡s o w 
kʰ a j , kʰ e j 
w a w , v o w 
kʰ a a ŋ , kʰ i 
w u , v u k 
d a , r e 
h l a , l e 
t͡s u , t͡s u k 
s u , s u k 
s u , s u k 
l ɐ p , r e ʔ 
j w o r , j u 
l o , l u 
s a , s e 
j a , j e 
l o j , l u 
ʃ o j , s u 
r u m , r ɐ m 
k a r , k o 
h a k , h o ʔ 
c o w , t͡s o w 
kʰ e j , kʰ u 
ŋ u m , v ɐ m 
t͡s i k , t͡s o ʔ 
t e k , k e ʔ 
t l a , k e 
n a j , n e j 
ʃ o , s u 
tʰ u u r , tʰ u 
ʃ a , s e 
p l a j , p e j 
s a k , s o ʔ 
j a k , j o ʔ 
t͡s aː n , t͡s e j 
tʰ a r , tʰ o 
s aː r , s a 
w ɐ t , v e j ʔ 
h w e , h w i 
ʃ a p , s a ʔ 
tʰ ɐ r , tʰ o 
kʰ o w , kʰ o w 
tʰ u k , t u ʔ 
p a j , p e j 
ʃ u ŋ , s u ŋ 
j o n , j ɐ ŋ 
n e m , n e m 
l u m , l ɐ m 
tʰ e ŋ , tʰ e 
h r i t , r e j ʔ 
bʷ e ŋ , v i 
t͡s i , t͡s i k 
m e j , m u 
p o j , p u 
ʔ e j , ʔ u 
s aː ŋ , s i 
k ɐ n , k e j 
j o j , v u e 
kʰ o ŋ , kʰ u 
m i n , m ɐ ŋ 
s o j , s u 
m o w , m o w 
d l i ŋ , l ɐ ŋ 
h i m , h ɐ m 
h a n , h e j 
j a , j i 
s i , s i k 
n a m , n a m 
tʰ o , tʰ u 
ʃ u t , s e j ʔ 
p u , h u k 
j a , j e 
t͡s e r , t͡s ɐ r 
tʰ i n , tʰ ɐ n 
ʃ o k , s u ʔ 
c aː ŋ , t͡s a 
b e t , v e j ʔ 
ʃ a , t͡s e 
l a , l e 
d a k , r o ʔ 
ʃ u , t͡s u k 
pʰ a n , pʰ e j 
ʃ a t , ʃ e 
kʰ a , kʰ e 
bʷ u , v u k 
m u k , m u ʔ 
k o r , k u 
t a , k e 
m a j , m e j 
bʷ o n , v ɐ ŋ 
c i k , t͡s o ʔ 
ŋ u n , ŋ u n 
d l o k , l u ʔ 
