INPUT,/ar/,/am/,/ma/,/ma/,/maak/,/maj/,/maŋ/,/maŋ/,/maaŋ/,/met/,/mej/,/mej/,/mej/,/mej/,/mi/,/mi/,/mi/,/mit/,/min/,/mik/,/miŋ/,/mor/,/mow/,/mow/,/mow/,/mot/,/muk/,/wa/,/wa/,/waar/,/waw/,/wɐt/,/wok/,/wu/,/baal/,/baaŋ/,/baj/,/bet/,/bʷa/,/bʷeŋ/,/bʷo/,/bʷon/,/bʷu/,/pa/,/pam/,/paj/,/pi/,/pew/,/poj/,/pu/,/plaj/,/praj/,/prim/,/pʰa/,/pʰaar/,/pʰaaŋ/,/pʰan/,/pʰe/,/pʰen/,/pʰej/,/pʰit/,/pʰuŋ/,/pʰuŋ/,/pʰra/,/pʰrew/,/pʷak/,/pʷɨ/,/pʷuk/,/la/,/la/,/la/,/la/,/laaŋ/,/lat/,/laj/,/lɐŋ/,/lɐp/,/lej/,/lej/,/lej/,/lej/,/lek/,/li/,/liŋ/,/liŋ/,/lo/,/lo/,/loj/,/low/,/lum/,/luŋ/,/luŋ/,/ra/,/ra/,/ra/,/ra/,/raap/,/raal/,/ram/,/ram/,/raj/,/rew/,/rew/,/rej/,/reŋ/,/reŋ/,/ri/,/ri/,/ri/,/ril/,/rik/,/row/,/rok/,/ru/,/ruul/,/rum/,/ruŋ/,/ruk/,/rwok/,/na/,/na/,/na/,/na/,/naw/,/nam/,/nam/,/nap/,/nap/,/naj/,/naj/,/naj/,/naŋ/,/nak/,/nem/,/ni/,/ni/,/ni/,/nim/,/nir/,/niŋ/,/niŋ/,/niŋ/,/nɨ/,/now/,/nu/,/nuk/,/da/,/dar/,/dak/,/deŋ/,/dik/,/dɨ/,/dɨ/,/dom/,/du/,/du/,/duŋ/,/duŋ/,/dlek/,/dlok/,/ta/,/tat/,/taŋ/,/tɐk/,/tew/,/tep/,/tek/,/tow/,/tla/,/tli/,/tlow/,/tʰa/,/tʰa/,/tʰaak/,/tʰaaw/,/tʰaw/,/tʰar/,/tʰat/,/tʰaj/,/tʰak/,/tʰɐr/,/tʰej/,/tʰej/,/tʰeŋ/,/tʰi/,/tʰi/,/tʰin/,/tʰiŋ/,/tʰik/,/tʰɨ/,/tʰow/,/tʰuur/,/tʰum/,/tʰum/,/tʰuk/,/sa/,/sa/,/saam/,/saar/,/saaŋ/,/sam/,/sak/,/sak/,/se/,/si/,/si/,/sik/,/sik/,/soj/,/su/,/su/,/sun/,/sun/,/sum/,/t͡sa/,/t͡sa/,/t͡saan/,/t͡saat/,/t͡saat/,/t͡saaŋ/,/t͡sap/,/t͡sar/,/t͡saŋ/,/t͡sɐt/,/t͡sɐt/,/t͡sej/,/t͡ser/,/t͡si/,/t͡si/,/t͡si/,/t͡si/,/t͡sim/,/t͡sik/,/t͡siŋ/,/t͡su/,/ʃa/,/ʃa/,/ʃa/,/ʃap/,/ʃat/,/ʃaj/,/ʃaŋ/,/ʃaŋ/,/ʃɐt/,/ʃɐŋ/,/ʃi/,/ʃi/,/ʃi/,/ʃim/,/ʃim/,/ʃo/,/ʃon/,/ʃoj/,/ʃok/,/ʃoŋ/,/ʃu/,/ʃuur/,/ʃup/,/ʃut/,/ʃuk/,/ʃuŋ/,/ʃuŋ/,/ʃuŋ/,/ja/,/ja/,/ja/,/ja/,/jaam/,/jap/,/jaŋ/,/jak/,/jon/,/joj/,/joŋ/,/jwor/,/ju/,/ju/,/juŋ/,/ca/,/caaŋ/,/caaŋ/,/caw/,/car/,/caj/,/ci/,/ciaŋ/,/cik/,/cow/,/cow/,/cow/,/con/,/con/,/cuŋ/,/ŋa/,/ŋar/,/ŋaj/,/ŋom/,/ŋum/,/ŋun/,/ka/,/ka/,/kaap/,/kaw/,/kaw/,/kal/,/kaj/,/kaŋ/,/kak/,/kɐn/,/kej/,/ko/,/kow/,/kow/,/kow/,/kol/,/koŋ/,/kʰa/,/kʰaaŋ/,/kʰaw/,/kʰaj/,/kʰaj/,/kʰaj/,/kʰak/,/kʰɐm/,/kʰej/,/kʰow/,/kʰop/,/kʰot/,/kʰoj/,/kʰoŋ/,/kʰoŋ/,/kʰok/,/kʰok/,/kʰu/,/kʰu/,/kʰuul/,/kʰum/,/kʰur/,/kʰut/,/kʰuk/,/ha/,/haaw/,/haaŋ/,/haw/,/hal/,/han/,/han/,/haj/,/hak/,/hɐŋ/,/ho/,/hol/,/hoj/,/hur/,/hla/,/hla/,/hlip/,/hri/,/hrit/,/hriŋ/,/hrik/,/hroj/,/hwa/,/hwa/,/hwa/,/hwɨ/,/hwor/,/hwok/,/hwut/,/ʔa/,/ʔi/
R0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/ra/,/rar/,/rak/,/reŋ/,/rik/,/rɨ/,/rɨ/,/rom/,/ru/,/ru/,/ruŋ/,/ruŋ/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/rok/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/jor/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/ha/,/ha/,/ha/,/hɨ/,/hor/,/hok/,/hut/,,
R2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/paal/,/paaŋ/,/paj/,/pet/,/pʷa/,/pʷeŋ/,/pʷo/,/pʷon/,/pʷu/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/tlek/,/tlok/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/la/,/la/,/lip/,/ri/,/rit/,/riŋ/,/rik/,/roj/,,,,,,,,,
R4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/paj/,/paj/,/pim/,,,,,,,,,,,/pʰa/,/pʰew/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/tek/,/tok/,,,,,,,,,/ta/,/ti/,/tow/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/wa/,/weŋ/,/wo/,/won/,/wu/,,,,,,,,,,,,,,,,,,,,,,,/wak/,/wɨ/,/wuk/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/vu/,,,,,,,,,/vu/,,,,,,,,,,,,,,,,,,,,,,,,/vɨ/,/vuk/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R7,,,,,,,,,,,,,,,,,,,,,,,,,,,,/va/,/va/,/vaar/,/vaw/,/vɐt/,,,,,,,/va/,/veŋ/,,,,,,,,,,,,,,,,,,,,,,,,,,/vak/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
=Stage 1,null/ar/,null/am/,null/ma/,null/ma/,null/maak/,null/maj/,null/maŋ/,null/maŋ/,null/maaŋ/,null/met/,null/mej/,null/mej/,null/mej/,null/mej/,null/mi/,null/mi/,null/mi/,null/mit/,null/min/,null/mik/,null/miŋ/,null/mor/,null/mow/,null/mow/,null/mow/,null/mot/,null/muk/,null/va/,null/va/,null/vaar/,null/vaw/,null/vɐt/,null/wok/,null/vu/,null/paal/,null/paaŋ/,null/paj/,null/pet/,null/va/,null/veŋ/,null/wo/,null/won/,null/vu/,null/pa/,null/pam/,null/paj/,null/pi/,null/pew/,null/poj/,null/pu/,null/paj/,null/paj/,null/pim/,null/pʰa/,null/pʰaar/,null/pʰaaŋ/,null/pʰan/,null/pʰe/,null/pʰen/,null/pʰej/,null/pʰit/,null/pʰuŋ/,null/pʰuŋ/,null/pʰa/,null/pʰew/,null/vak/,null/vɨ/,null/vuk/,null/la/,null/la/,null/la/,null/la/,null/laaŋ/,null/lat/,null/laj/,null/lɐŋ/,null/lɐp/,null/lej/,null/lej/,null/lej/,null/lej/,null/lek/,null/li/,null/liŋ/,null/liŋ/,null/lo/,null/lo/,null/loj/,null/low/,null/lum/,null/luŋ/,null/luŋ/,null/ra/,null/ra/,null/ra/,null/ra/,null/raap/,null/raal/,null/ram/,null/ram/,null/raj/,null/rew/,null/rew/,null/rej/,null/reŋ/,null/reŋ/,null/ri/,null/ri/,null/ri/,null/ril/,null/rik/,null/row/,null/rok/,null/ru/,null/ruul/,null/rum/,null/ruŋ/,null/ruk/,null/rok/,null/na/,null/na/,null/na/,null/na/,null/naw/,null/nam/,null/nam/,null/nap/,null/nap/,null/naj/,null/naj/,null/naj/,null/naŋ/,null/nak/,null/nem/,null/ni/,null/ni/,null/ni/,null/nim/,null/nir/,null/niŋ/,null/niŋ/,null/niŋ/,null/nɨ/,null/now/,null/nu/,null/nuk/,null/ra/,null/rar/,null/rak/,null/reŋ/,null/rik/,null/rɨ/,null/rɨ/,null/rom/,null/ru/,null/ru/,null/ruŋ/,null/ruŋ/,null/tek/,null/tok/,null/ta/,null/tat/,null/taŋ/,null/tɐk/,null/tew/,null/tep/,null/tek/,null/tow/,null/ta/,null/ti/,null/tow/,null/tʰa/,null/tʰa/,null/tʰaak/,null/tʰaaw/,null/tʰaw/,null/tʰar/,null/tʰat/,null/tʰaj/,null/tʰak/,null/tʰɐr/,null/tʰej/,null/tʰej/,null/tʰeŋ/,null/tʰi/,null/tʰi/,null/tʰin/,null/tʰiŋ/,null/tʰik/,null/tʰɨ/,null/tʰow/,null/tʰuur/,null/tʰum/,null/tʰum/,null/tʰuk/,null/sa/,null/sa/,null/saam/,null/saar/,null/saaŋ/,null/sam/,null/sak/,null/sak/,null/se/,null/si/,null/si/,null/sik/,null/sik/,null/soj/,null/su/,null/su/,null/sun/,null/sun/,null/sum/,null/t͡sa/,null/t͡sa/,null/t͡saan/,null/t͡saat/,null/t͡saat/,null/t͡saaŋ/,null/t͡sap/,null/t͡sar/,null/t͡saŋ/,null/t͡sɐt/,null/t͡sɐt/,null/t͡sej/,null/t͡ser/,null/t͡si/,null/t͡si/,null/t͡si/,null/t͡si/,null/t͡sim/,null/t͡sik/,null/t͡siŋ/,null/t͡su/,null/ʃa/,null/ʃa/,null/ʃa/,null/ʃap/,null/ʃat/,null/ʃaj/,null/ʃaŋ/,null/ʃaŋ/,null/ʃɐt/,null/ʃɐŋ/,null/ʃi/,null/ʃi/,null/ʃi/,null/ʃim/,null/ʃim/,null/ʃo/,null/ʃon/,null/ʃoj/,null/ʃok/,null/ʃoŋ/,null/ʃu/,null/ʃuur/,null/ʃup/,null/ʃut/,null/ʃuk/,null/ʃuŋ/,null/ʃuŋ/,null/ʃuŋ/,null/ja/,null/ja/,null/ja/,null/ja/,null/jaam/,null/jap/,null/jaŋ/,null/jak/,null/jon/,null/joj/,null/joŋ/,null/jor/,null/ju/,null/ju/,null/juŋ/,null/ca/,null/caaŋ/,null/caaŋ/,null/caw/,null/car/,null/caj/,null/ci/,null/ciaŋ/,null/cik/,null/cow/,null/cow/,null/cow/,null/con/,null/con/,null/cuŋ/,null/ŋa/,null/ŋar/,null/ŋaj/,null/ŋom/,null/ŋum/,null/ŋun/,null/ka/,null/ka/,null/kaap/,null/kaw/,null/kaw/,null/kal/,null/kaj/,null/kaŋ/,null/kak/,null/kɐn/,null/kej/,null/ko/,null/kow/,null/kow/,null/kow/,null/kol/,null/koŋ/,null/kʰa/,null/kʰaaŋ/,null/kʰaw/,null/kʰaj/,null/kʰaj/,null/kʰaj/,null/kʰak/,null/kʰɐm/,null/kʰej/,null/kʰow/,null/kʰop/,null/kʰot/,null/kʰoj/,null/kʰoŋ/,null/kʰoŋ/,null/kʰok/,null/kʰok/,null/kʰu/,null/kʰu/,null/kʰuul/,null/kʰum/,null/kʰur/,null/kʰut/,null/kʰuk/,null/ha/,null/haaw/,null/haaŋ/,null/haw/,null/hal/,null/han/,null/han/,null/haj/,null/hak/,null/hɐŋ/,null/ho/,null/hol/,null/hoj/,null/hur/,null/la/,null/la/,null/lip/,null/ri/,null/rit/,null/riŋ/,null/rik/,null/roj/,null/ha/,null/ha/,null/ha/,null/hɨ/,null/hor/,null/hok/,null/hut/,null/ʔa/,null/ʔi/
R8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/ri/,,,,,/ruu/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/kʰuu/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
