INPUT,/t͡sa/,/loj/,/se/,/kol/,/hwok/,/ar/,/hwɨ/,/caw/,/rwok/,/lej/,/pu/,/wa/,/kʰaj/,/rew/,/kʰu/,/kʰoj/,/hrik/,/ran/,/hriŋ/,/tʰi/,/ŋun/,/jip/,/tʰow/,/kow/,/t͡si/,/maj/,/mik/,/t͡sap/,/pew/,/na/,/nap/,/na/,/na/,/mor/,/t͡ser/,/ʃaj/,/t͡sa/,/maŋ/,/caŋ/,/caam/,/ham/,/lej/,/tlow/,/lek/,/caj/,/ha/,/pʷɨ/,/kej/,/kʰa/,/rok/,/raap/,/nu/,/kʰum/,/pʰen/,/laj/,/bɐ/,/mej/,/baan/,/ja/,/kʰuk/,/pʰej/,/sam/,/hwa/,/tʰaw/,/ru/,/ʃi/,/sun/,/pʰaar/,/kʰak/,/pʰan/,/luŋ/,/tʰi/,/kal/,/ril/,/baal/,/dɨ/,/kʰa/,/nɨ/,/t͡sa/,/la/,/hwa/,/kʰaj/,/prim/,/si/,/sum/,/kow/,/nam/,/kʰɐm/,/t͡sej/,/roŋ/,/am/,/ca/,/ri/,/t͡siŋ/,/kum/,/mej/,/kʰut/,/la/,/dik/,/cow/,/dɨ/,/pʰuŋ/,/luŋ/,/kʰur/,/t͡si/,/ri/,/ni/,/tʰum/,/tli/,/ŋa/,/ruk/,/ni/,/ʃɐt/,/ko/,/ra/,/kul/,/ʃa/,/dar/,/ni/,/moj/,/pa/,/ʃaŋ/,/la/,/hri/,/maak/,/mej/,/du/,/naw/,/ram/,/ʃim/,/maŋ/,/miŋ/,/na/,/juŋ/,/tʰiŋ/,/tʰej/,/hwa/,/han/,/taŋ/,/waar/,/hoj/,/kaj/,/praj/,/tʰej/,/lej/,/kup/,/sam/,/tʰum/,/niŋ/,/ŋaj/,/ja/,/ka/,/duŋ/,/sa/,/mi/,/con/,/li/,/tʰat/,/jap/,/tat/,/row/,/re/,/pʰa/,/tʰaaw/,/reŋ/,/t͡si/,/da/,/laj/,/tʰak/,/nur/,/ŋaj/,/duŋ/,/tɐk/,/kʰop/,/ʃaam/,/niŋ/,/nap/,/kaap/,/cow/,/ho/,/ʃuŋ/,/met/,/pʰrew/,/hur/,/su/,/kʰot/,/jwor/,/lo/,/tʰɨ/,/ʃuk/,/raj/,/kɐn/,/ʃoj/,/nam/,/soj/,/rum/,/saaŋ/,/kʰej/,/ŋum/,/t͡sik/,/car/,/tek/,/tla/,/naj/,/ʃim/,/tʰuur/,/ʃa/,/kaw/,/plaj/,/jak/,/tʰar/,/saar/,/wɐt/,/ʃap/,/tʰɐr/,/tʰuk/,/ʃuŋ/,/bet/,/cow/,/lum/,/nim/,/tʰeŋ/,/nak/,/hrit/,/bʷeŋ/,/tʰaak/,/mej/,/tʰa/,/ʃuur/,/pʷuk/,/ʃut/,/naŋ/,/min/,/wa/,/lej/,/muk/,/pʷak/,/ciaŋ/,/dak/,/mi/,/tʰin/,/wu/,/ra/,/dliŋ/,/bʷon/,/pu/,/t͡saŋ/,/rik/,/pam/,/si/,/so/,/joj/,/han/,/low/,/hwot/,/dej/,/nam/,/saam/,/ʔi/,/ʔa/,/ʃaŋ/,/t͡saat/,/hla/,/kow/,/him/,/ʃat/,/poj/,/pʰaaŋ/,/kʰa/,/lat/,/tʰik/,/cuŋ/,/tow/,/bʷa/,/bʷu/,/t͡sar/,/la/,/niŋ/,/jaŋ/,/nɐŋ/,/pʷɨ/
R0,,,,,,,,,,,,,,,,,/rik/,,/riŋ/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/ri/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/rit/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/la/,,,,,,,,,,,,,,,,,,
R1,,,,,,/har/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/ham/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/wɨ/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/wuk/,,,,,,,/wak/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/wɨ/
R3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/veŋ/,,,,,,,,,,,,,,,,,,,,/von/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/va/,/vu/,,,,,,
R4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/ðɨ/,,,,,,,,,,,,,,,,,,,,,,,/ðik/,,/ðɨ/,,,,,,,,,,,,,,,,,/ðar/,,,,,,,,,/ðu/,,,,,,,,,,,,,,,,,,,,,,,,,,/ðuŋ/,,,,,,,,,,,,,,/ða/,,,,,/ðuŋ/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/ðak/,,,,,,,,,,,,,,,,,/ðej/,,,,,,,,,,,,,,,,,,,,,,,,,
R5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/pɐ/,,/paan/,,,,,,,,,,,,,,,,,/paal/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/pet/,,,,,,,,,,,,,,,,,,,,,,,,,,/tliŋ/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/tow/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/pim/,,,,,,,,,,,,,,,,,,,,,,,,,,/ti/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/paj/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/pʰew/,,,,,,,,,,,,,,,,,,,,/ta/,,,,,,/paj/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/tiŋ/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/caːm/,,,,,,,,,,,/raːp/,,,,,,,/paːn/,,,,,,,,,,/pʰaːr/,,,,,,,/paːl/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/maːk/,,,,,,,,,,,,,,,/waːr/,,,,,,,,,,,,,,,,,,,,,,,,/tʰaːw/,,,,,,,,,,,/ʃaːm/,,,/kaːp/,,,,,,,,,,,,,,,,,,,/saːŋ/,,,,,,,,,/tʰuːr/,,,,,,/saːr/,,,,,,,,,,,,,,/tʰaːk/,,,/ʃuːr/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/saːm/,,,,/t͡saːt/,,,,,,/pʰaːŋ/,,,,,,,,,,,,,
R8,,,,,/hok/,,,,/rok/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/ha/,,,,,,,,,,,,,,,,,,/ha/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/ha/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/jor/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/hot/,,,,,,,,,,,,,,,,,,,,,,,,,,
=Proto-Kachai-Ukhrul,null/t͡sa/,null/loj/,null/se/,null/kol/,null/hok/,null/har/,null/hwɨ/,null/caw/,null/rok/,null/lej/,null/pu/,null/wa/,null/kʰaj/,null/rew/,null/kʰu/,null/kʰoj/,null/rik/,null/ran/,null/riŋ/,null/tʰi/,null/ŋun/,null/jip/,null/tʰow/,null/kow/,null/t͡si/,null/maj/,null/mik/,null/t͡sap/,null/pew/,null/na/,null/nap/,null/na/,null/na/,null/mor/,null/t͡ser/,null/ʃaj/,null/t͡sa/,null/maŋ/,null/caŋ/,null/caːm/,null/ham/,null/lej/,null/tow/,null/lek/,null/caj/,null/ha/,null/wɨ/,null/kej/,null/kʰa/,null/rok/,null/raːp/,null/nu/,null/kʰum/,null/pʰen/,null/laj/,null/pɐ/,null/mej/,null/paːn/,null/ja/,null/kʰuk/,null/pʰej/,null/sam/,null/ha/,null/tʰaw/,null/ru/,null/ʃi/,null/sun/,null/pʰaːr/,null/kʰak/,null/pʰan/,null/luŋ/,null/tʰi/,null/kal/,null/ril/,null/paːl/,null/ðɨ/,null/kʰa/,null/nɨ/,null/t͡sa/,null/la/,null/ha/,null/kʰaj/,null/pim/,null/si/,null/sum/,null/kow/,null/nam/,null/kʰɐm/,null/t͡sej/,null/roŋ/,null/ham/,null/ca/,null/ri/,null/t͡siŋ/,null/kum/,null/mej/,null/kʰut/,null/la/,null/ðik/,null/cow/,null/ðɨ/,null/pʰuŋ/,null/luŋ/,null/kʰur/,null/t͡si/,null/ri/,null/ni/,null/tʰum/,null/ti/,null/ŋa/,null/ruk/,null/ni/,null/ʃɐt/,null/ko/,null/ra/,null/kul/,null/ʃa/,null/ðar/,null/ni/,null/moj/,null/pa/,null/ʃaŋ/,null/la/,null/ri/,null/maːk/,null/mej/,null/ðu/,null/naw/,null/ram/,null/ʃim/,null/maŋ/,null/miŋ/,null/na/,null/juŋ/,null/tʰiŋ/,null/tʰej/,null/ha/,null/han/,null/taŋ/,null/waːr/,null/hoj/,null/kaj/,null/paj/,null/tʰej/,null/lej/,null/kup/,null/sam/,null/tʰum/,null/niŋ/,null/ŋaj/,null/ja/,null/ka/,null/ðuŋ/,null/sa/,null/mi/,null/con/,null/li/,null/tʰat/,null/jap/,null/tat/,null/row/,null/re/,null/pʰa/,null/tʰaːw/,null/reŋ/,null/t͡si/,null/ða/,null/laj/,null/tʰak/,null/nur/,null/ŋaj/,null/ðuŋ/,null/tɐk/,null/kʰop/,null/ʃaːm/,null/niŋ/,null/nap/,null/kaːp/,null/cow/,null/ho/,null/ʃuŋ/,null/met/,null/pʰew/,null/hur/,null/su/,null/kʰot/,null/jor/,null/lo/,null/tʰɨ/,null/ʃuk/,null/raj/,null/kɐn/,null/ʃoj/,null/nam/,null/soj/,null/rum/,null/saːŋ/,null/kʰej/,null/ŋum/,null/t͡sik/,null/car/,null/tek/,null/ta/,null/naj/,null/ʃim/,null/tʰuːr/,null/ʃa/,null/kaw/,null/paj/,null/jak/,null/tʰar/,null/saːr/,null/wɐt/,null/ʃap/,null/tʰɐr/,null/tʰuk/,null/ʃuŋ/,null/pet/,null/cow/,null/lum/,null/nim/,null/tʰeŋ/,null/nak/,null/rit/,null/veŋ/,null/tʰaːk/,null/mej/,null/tʰa/,null/ʃuːr/,null/wuk/,null/ʃut/,null/naŋ/,null/min/,null/wa/,null/lej/,null/muk/,null/wak/,null/ciaŋ/,null/ðak/,null/mi/,null/tʰin/,null/wu/,null/ra/,null/tiŋ/,null/von/,null/pu/,null/t͡saŋ/,null/rik/,null/pam/,null/si/,null/so/,null/joj/,null/han/,null/low/,null/hot/,null/ðej/,null/nam/,null/saːm/,null/ʔi/,null/ʔa/,null/ʃaŋ/,null/t͡saːt/,null/la/,null/kow/,null/him/,null/ʃat/,null/poj/,null/pʰaːŋ/,null/kʰa/,null/lat/,null/tʰik/,null/cuŋ/,null/tow/,null/va/,null/vu/,null/t͡sar/,null/la/,null/niŋ/,null/jaŋ/,null/nɐŋ/,null/wɨ/
